experiment_name,json_path,num_asr_utterance_groups,asr_ne_word_mean,num_translation_utterance_groups,translation_ne_char_mean,num_translation_utterance_spans,translation_ne_char_cross_batch_mean,num_multi_batch_spans,first_batch_duration_mean
youtube_10m_to_20m,experiments/20260401_youtube_10m_to_20m.json,0,,0,,0,,0,
ep_sweep_1200ms,experiments/20260415_ep_sweep_1200ms.json,0,,0,,0,,0,
ep_sweep_1500ms,experiments/20260415_ep_sweep_1500ms.json,0,,0,,0,,0,
ep_sweep_300ms,experiments/20260415_ep_sweep_300ms.json,0,,0,,0,,0,
ep_sweep_500ms,experiments/20260415_ep_sweep_500ms.json,0,,0,,0,,0,
ep_sweep_800ms,experiments/20260415_ep_sweep_800ms.json,0,,0,,0,,0,
youtube_10m_to_12m_new_prompt,experiments/20260415_youtube_10m_to_12m_new_prompt.json,0,,0,,0,,0,
youtube_10m_to_12m,experiments/20260415ver0_youtube_10m_to_12m.json,0,,0,,0,,0,
youtube_10m_to_12m_fixed,experiments/20260415ver1_youtube_10m_to_12m_fixed.json,0,,0,,0,,0,
baseline_after_streaming_fix,experiments/20260722_baseline_after_streaming_fix.json,16,0.2592349824476754,7,0.0,7,,0,
baseline_with_soft_finalize,experiments/20260722_baseline_with_soft_finalize.json,16,0.2592349824476754,7,0.0,7,,0,
en_talk_transition_accuracy_check,experiments/20260722_en_talk_transition_accuracy_check.json,21,0.31657547906594447,2,0.0,2,,0,
en_talk_transition_accuracy_check_v2,experiments/20260722_en_talk_transition_accuracy_check_v2.json,21,0.27838873315807006,34,0.0,34,,0,
soft_finalize_timeout_flashlite,experiments/20260722_soft_finalize_timeout_flashlite.json,2,0.125,11,0.0,11,,0,
tuned_2_5s_window,experiments/20260722_tuned_2_5s_window.json,2,0.10334429824561403,5,0.0,5,,0,
en_talk_7m20_8m50,experiments/20260723_en_talk_7m20_8m50.json,21,0.25667110385345293,3,0.0,3,,0,
en_talk_7m20_8m50_v2,experiments/20260723_en_talk_7m20_8m50_v2.json,21,0.25667110385345293,31,0.0,31,,0,
calibration_baseline_no_packs,experiments/20260724_calibration_baseline_no_packs.json,32,0.26287625691768235,42,0.0,42,,0,
calibration_check,experiments/20260724_calibration_check.json,43,0.14478255981761673,51,0.0,51,,0,
calibration_check2,experiments/20260724_calibration_check2.json,32,0.17823486508948128,42,0.0,42,,0,
calibration_drift_fix,experiments/20260724_calibration_drift_fix.json,32,0.2852999915080569,40,0.0,40,,0,
calibration_rpm60,experiments/20260724_calibration_rpm60.json,32,0.2869685120864774,43,0.0,43,,0,
20260724_dictionary_comparison_report,experiments/20260724_dictionary_comparison_report.json,0,,0,,0,,0,
llm2024_8_part1_full,experiments/20260724_llm2024_8_part1_full.json,1091,0.1981898689433764,1815,0.0,1815,,0,
llm2024_8_part1_full_baseline_no_dict,experiments/20260724_llm2024_8_part1_full_baseline_no_dict.json,1109,0.21109616996602412,1819,0.0,1819,,0,
post_dedup_fix_check,experiments/20260731_post_dedup_fix_check.json,32,0.2655180811668481,43,0.0006418485237483953,43,,0,
hardest_5min_gemini35flashlite,experiments/20260806_hardest_5min_gemini35flashlite.json,75,0.2012036369948907,119,0.0,67,2.4261532668903585,39,3.411282338461538
hardest_5min_gpt54nano,experiments/20260806_hardest_5min_gpt54nano.json,75,0.18314232372812733,120,0.004827131314241741,120,,0,
