experiment_name,json_path,num_batches,num_batches_with_queue_wait,queue_wait_mean_s,queue_wait_median_s,stream_duration_mean_s,stream_duration_median_s
youtube_10m_to_20m,experiments/20260401_youtube_10m_to_20m.json,0,0,,,,
ep_sweep_1200ms,experiments/20260415_ep_sweep_1200ms.json,0,0,,,,
ep_sweep_1500ms,experiments/20260415_ep_sweep_1500ms.json,0,0,,,,
ep_sweep_300ms,experiments/20260415_ep_sweep_300ms.json,0,0,,,,
ep_sweep_500ms,experiments/20260415_ep_sweep_500ms.json,0,0,,,,
ep_sweep_800ms,experiments/20260415_ep_sweep_800ms.json,0,0,,,,
youtube_10m_to_12m_new_prompt,experiments/20260415_youtube_10m_to_12m_new_prompt.json,0,0,,,,
youtube_10m_to_12m,experiments/20260415ver0_youtube_10m_to_12m.json,0,0,,,,
youtube_10m_to_12m_fixed,experiments/20260415ver1_youtube_10m_to_12m_fixed.json,0,0,,,,
baseline_after_streaming_fix,experiments/20260722_baseline_after_streaming_fix.json,7,1,3.0627706050872803,3.0627706050872803,0.15466982977730886,0.17223882675170898
baseline_with_soft_finalize,experiments/20260722_baseline_with_soft_finalize.json,7,4,1.7486503720283508,1.5269056558609009,0.15682319232395717,0.16623139381408691
en_talk_transition_accuracy_check,experiments/20260722_en_talk_transition_accuracy_check.json,2,2,0.9494390487670898,0.9494390487670898,0.060999274253845215,0.060999274253845215
en_talk_transition_accuracy_check_v2,experiments/20260722_en_talk_transition_accuracy_check_v2.json,34,22,31.39026240869002,31.15508544445038,0.008407235145568848,0.0036902427673339844
soft_finalize_timeout_flashlite,experiments/20260722_soft_finalize_timeout_flashlite.json,11,10,2.033912467956543,1.8244404792785645,0.11579793149774725,0.1274402141571045
tuned_2_5s_window,experiments/20260722_tuned_2_5s_window.json,5,5,1.0910574913024902,1.189774513244629,0.09549598693847657,0.09827804565429688
en_talk_7m20_8m50,experiments/20260723_en_talk_7m20_8m50.json,3,1,1.4177312850952148,1.4177312850952148,0.13121668497721353,0.12155771255493164
en_talk_7m20_8m50_v2,experiments/20260723_en_talk_7m20_8m50_v2.json,31,21,12.771805093401955,1.34086012840271,0.00835922456556751,0.002877473831176758
calibration_baseline_no_packs,experiments/20260724_calibration_baseline_no_packs.json,42,26,39.136263865690964,34.054622173309326,0.005609852927071708,0.003501296043395996
calibration_check,experiments/20260724_calibration_check.json,51,30,38.78629681269328,36.59649932384491,0.006206414278815775,0.0033991336822509766
calibration_check2,experiments/20260724_calibration_check2.json,42,24,42.00182954470316,40.03638565540314,0.0063860246113368446,0.003696441650390625
calibration_drift_fix,experiments/20260724_calibration_drift_fix.json,40,22,33.16078749569979,27.747261881828308,0.008543461561203003,0.003667593002319336
calibration_rpm60,experiments/20260724_calibration_rpm60.json,43,23,1.3127012563788372,1.3780906200408936,0.007182381873907045,0.0037224292755126953
20260724_dictionary_comparison_report,experiments/20260724_dictionary_comparison_report.json,0,0,,,,
llm2024_8_part1_full,experiments/20260724_llm2024_8_part1_full.json,1815,1065,1.2053139670913768,1.2559566497802734,0.008827670283882415,0.0034799575805664062
llm2024_8_part1_full_baseline_no_dict,experiments/20260724_llm2024_8_part1_full_baseline_no_dict.json,1819,1065,1.231214408695418,1.280238389968872,0.01071092648582186,0.0028765201568603516
post_dedup_fix_check,experiments/20260731_post_dedup_fix_check.json,43,24,1.5279835959275563,1.3628482818603516,0.016773606455603312,0.0015943050384521484
hardest_5min_gemini35flashlite,experiments/20260806_hardest_5min_gemini35flashlite.json,119,68,1.319140258957358,1.3614689111709595,0.027528195821938394,0.002588033676147461
hardest_5min_gpt54nano,experiments/20260806_hardest_5min_gpt54nano.json,120,66,1.2285098126440337,1.0639516115188599,0.21298399766286213,0.15669012069702148
asr_keyterms_off,experiments/20260903_asr_keyterms_off.json,42,24,30.119597673416138,28.08256494998932,0.032512971333095005,0.0
asr_keyterms_off2,experiments/20260903_asr_keyterms_off2.json,87,56,1.7532016805240087,1.737916111946106,0.05257319307875359,0.0265347957611084
asr_keyterms_off3,experiments/20260903_asr_keyterms_off3.json,71,45,1.7985454294416638,1.7286431789398193,0.07003561879547548,0.04750204086303711
asr_keyterms_on,experiments/20260903_asr_keyterms_on.json,30,19,21.59986356685036,4.730435132980347,0.0720186710357666,0.001426100730895996
asr_keyterms_on2,experiments/20260903_asr_keyterms_on2.json,13,7,4.3628764152526855,1.8479278087615967,0.05959518139178936,0.04682207107543945
asr_keyterms_on3,experiments/20260903_asr_keyterms_on3.json,73,46,1.8643148826516194,1.6627930402755737,0.07027167816684671,0.041203975677490234
chunk_latency_sweep2_1200ms,experiments/20260903_chunk_latency_sweep2_1200ms.json,35,23,2.197687273440154,2.2391529083251953,0.03986941065107073,0.001931905746459961
chunk_latency_sweep2_1500ms,experiments/20260903_chunk_latency_sweep2_1500ms.json,35,23,2.0702171014702837,2.0860438346862793,0.03807499068123954,0.0026161670684814453
chunk_latency_sweep2_2000ms,experiments/20260903_chunk_latency_sweep2_2000ms.json,35,23,2.112279632817144,2.0365848541259766,0.03876542363848005,0.0015730857849121094
chunk_latency_sweep2_300ms,experiments/20260903_chunk_latency_sweep2_300ms.json,37,23,2.1367040509762973,1.9904048442840576,0.033199406958915094,0.0019960403442382812
chunk_latency_sweep2_500ms,experiments/20260903_chunk_latency_sweep2_500ms.json,34,23,1.8915083615676216,1.7902700901031494,0.03075697842766257,0.0018930435180664062
chunk_latency_sweep2_800ms,experiments/20260903_chunk_latency_sweep2_800ms.json,35,23,2.1904566909955894,2.034557342529297,0.04172601018633161,0.00836801528930664
chunk_latency_sweep_1200ms,experiments/20260903_chunk_latency_sweep_1200ms.json,27,16,13.518819257616997,2.6139719486236572,0.04639140764872233,0.0015480518341064453
chunk_latency_sweep_1500ms,experiments/20260903_chunk_latency_sweep_1500ms.json,20,12,9.91197657585144,2.0710670948028564,0.027848172187805175,0.0013337135314941406
chunk_latency_sweep_2000ms,experiments/20260903_chunk_latency_sweep_2000ms.json,16,10,4.181265664100647,2.085064649581909,0.018633753061294556,0.005354166030883789
