experiment_name,domain,chrf_score,avg_end_to_end_latency_seconds,avg_mt_latency_seconds,asr_word_latency_cla_mean_s,translation_ne_char_cross_batch_mean,mt_queue_wait_median_s,mt_stream_duration_mean_s
youtube_10m_to_20m,,,,,,,,
youtube_10m_to_20m,,,,,,,,
youtube_10m_to_12m,,,,,,,,
youtube_10m_to_12m_fixed,,,,,,,,
ep_sweep_300ms,,,,,,,,
ep_sweep_500ms,,,,,,,,
ep_sweep_800ms,,,,,,,,
ep_sweep_1200ms,,,,,,,,
ep_sweep_1500ms,,,,,,,,
ep_sweep_300ms,,,,,,,,
ep_sweep_500ms,,,,,,,,
ep_sweep_800ms,,,,,,,,
ep_sweep_1200ms,,,,,,,,
ep_sweep_1500ms,,,,,,,,
youtube_10m_to_12m_new_prompt,,,,,,,,
baseline_after_streaming_fix,llm_lecture_mixed_ja_en,,7.54,0.15,,,3.0627706050872803,0.15466982977730886
baseline_with_soft_finalize,llm_lecture_mixed_ja_en,,6.91,0.16,,,1.5269056558609009,0.15682319232395717
soft_finalize_timeout_flashlite,llm_lecture_mixed_ja_en,,8.00,0.12,,,1.8244404792785645,0.11579793149774725
tuned_2_5s_window,llm_lecture_mixed_ja_en,,5.03,0.10,,,1.189774513244629,0.09549598693847657
en_talk_transition_accuracy_check,llm_lecture_ja_to_en_transition,,3.50,0.06,,,0.9494390487670898,0.060999274253845215
en_talk_transition_accuracy_check_v2,llm_lecture_ja_to_en_transition,,30.57,0.01,,,31.15508544445038,0.008407235145568848
en_talk_7m20_8m50,llm_lecture_en_talk,,5.40,0.13,,,1.4177312850952148,0.13121668497721353
en_talk_7m20_8m50_v2,llm_lecture_en_talk,,20.53,0.01,,,1.34086012840271,0.00835922456556751
calibration_check,,,47.22,0.01,,,36.59649932384491,0.006206414278815775
calibration_check2,,,42.78,0.01,,,40.03638565540314,0.0063860246113368446
calibration_baseline_no_packs,,,40.82,0.01,,,34.054622173309326,0.005609852927071708
calibration_drift_fix,,,33.94,0.01,,,27.747261881828308,0.008543461561203003
calibration_rpm60,,,4.14,0.01,,,1.3780906200408936,0.007182381873907045
llm2024_8_part1_full,llm_inference_efficiency_lecture,,3.84,0.01,,,1.2559566497802734,0.008827670283882415
llm2024_8_part1_full_baseline_no_dict,llm_inference_efficiency_lecture,,3.87,0.01,,,1.280238389968872,0.01071092648582186
post_dedup_fix_check,,,4.83,0.35,,,1.3628482818603516,0.016773606455603312
hardest_5min_gpt54nano,llm_inference_efficiency_lecture,,4.90,0.68,,,1.0639516115188599,0.21298399766286213
hardest_5min_gemini35flashlite,llm_inference_efficiency_lecture,,4.59,0.49,,2.4261532668903594,1.3614689111709595,0.027528195821938394
smoketest,,,3.11,0.00,3.5830122096154065,3.9444444444444446,1.9331976175308228,0.03402900695800781
chunk_latency_sweep_300ms,ml_transformers,,17.24,2.15,4.06910439872867,0.7970068295196653,2.409480094909668,0.032657245794932045
chunk_latency_sweep_500ms,ml_transformers,,15.11,4.52,4.103989528233312,0.7235429886232795,2.1690335273742676,0.03476509593781971
chunk_latency_sweep_800ms,ml_transformers,,12.12,3.37,4.103989528233312,0.6848940528025869,2.3380229473114014,0.02474454829567357
chunk_latency_sweep_1200ms,ml_transformers,,18.86,2.19,4.103989528233312,1.1410965428064892,2.6139719486236572,0.04639140764872233
chunk_latency_sweep_1500ms,ml_transformers,,13.42,3.47,4.103989528233312,0.8446479296048542,2.0710670948028564,0.027848172187805175
chunk_latency_sweep_2000ms,ml_transformers,,7.27,1.88,4.103989528233312,1.001683305938863,2.085064649581909,0.018633753061294556
